timestamp,version,batch_id,experiment_id,test_case_id,scenario,run_id,lifecycle_phase,total_requests,request_interval_seconds,configured_requests_per_second,achieved_requests_per_second,workload_duration_seconds,workload_level,successful_requests,failed_requests,cloud_success,edge_success,failover_enabled,expected_cloud_status,expected_edge_status,failover_transition_count,observed_failover_recovery_seconds,cloud_failure_detection_seconds,mean_total_request_latency_seconds,p95_total_request_latency_seconds,availability_percent,recovery_scope_records,rpo_related_exposure_records,pending_edge_sync_count,oldest_pending_age_seconds,recovery_completeness_percent,replica_convergence_percent,missing_from_cloud_count,duplicate_client_order_ids,pre_recovery_rpo_exposure_records,pre_recovery_pending_sync_count,post_recovery_rpo_exposure_records,cloud_record_count,edge_record_count,recovery_sync_time_seconds,records_synced_back_to_cloud,cloud_process_rss_mb,edge_process_rss_mb,cloud_cpu_percent_snapshot,edge_cpu_percent_snapshot,cloud_db_size_bytes,edge_db_size_bytes,lifecycle_transition_count,notes,scenario_display,request_success_rate_percent,edge_share_of_success_percent,configured_achieved_rate_ratio_percent,data_quality_issue
2026-08-22 18:12:30,4.1,TC03-batch-20260822T181123-ea0cb7,TC03-20260822T181123215561-run1-ce620d,TC03,cloud_only_failure_no_failover,1,single_scenario,30,0.2,5.0,0.453,66.226914,medium,0,30,0,0,False,failed,not_used,0.0,,2.010098,2.010147,2.01792,0.0,0,0,0,,,,0,0,0,0,,300,300,,,,51.57,,0.0,159744.0,167936.0,0,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=NORMAL; edge_recovery_scope=0",Cloud Failure without Failover,0.0,,9.06,
2026-08-22 18:13:38,4.1,TC03-batch-20260822T181123-ea0cb7,TC03-20260822T181231106831-run2-6ae389,TC03,cloud_only_failure_no_failover,2,single_scenario,30,0.2,5.0,0.453,66.248579,medium,0,30,0,0,False,failed,not_used,0.0,,2.012065,2.012108,2.016878,0.0,0,0,0,,,,0,0,0,0,,300,300,,,,40.453,,0.0,159744.0,167936.0,0,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=NORMAL; edge_recovery_scope=0",Cloud Failure without Failover,0.0,,9.06,
2026-08-22 18:14:46,4.1,TC03-batch-20260822T181123-ea0cb7,TC03-20260822T181339002390-run3-8451f5,TC03,cloud_only_failure_no_failover,3,single_scenario,30,0.2,5.0,0.453,66.199448,medium,0,30,0,0,False,failed,not_used,0.0,,2.010428,2.010475,2.016742,0.0,0,0,0,,,,0,0,0,0,,300,300,,,,40.574,,0.0,159744.0,167936.0,0,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=NORMAL; edge_recovery_scope=0",Cloud Failure without Failover,0.0,,9.06,
2026-08-22 18:15:55,4.1,TC03-batch-20260822T181123-ea0cb7,TC03-20260822T181446854400-run4-34b7e9,TC03,cloud_only_failure_no_failover,4,single_scenario,30,0.2,5.0,0.447,67.167585,medium,0,30,0,0,False,failed,not_used,0.0,,2.01063,2.010675,2.016517,0.0,0,0,0,,,,0,0,0,0,,300,300,,,,40.785,,0.0,159744.0,167936.0,0,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=NORMAL; edge_recovery_scope=0",Cloud Failure without Failover,0.0,,8.940000000000001,
2026-08-22 18:17:03,4.1,TC03-batch-20260822T181123-ea0cb7,TC03-20260822T181555673638-run5-7216a2,TC03,cloud_only_failure_no_failover,5,single_scenario,30,0.2,5.0,0.453,66.197912,medium,0,30,0,0,False,failed,not_used,0.0,,2.010306,2.010354,2.016311,0.0,0,0,0,,,,0,0,0,0,,300,300,,,,40.859,,0.0,159744.0,167936.0,0,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=NORMAL; edge_recovery_scope=0",Cloud Failure without Failover,0.0,,9.06,
2026-08-22 18:18:10,4.1,TC03-batch-20260822T181123-ea0cb7,TC03-20260822T181703527516-run6-d0f76a,TC03,cloud_only_failure_no_failover,6,single_scenario,30,0.2,5.0,0.453,66.229376,medium,0,30,0,0,False,failed,not_used,0.0,,2.01156,2.011602,2.017356,0.0,0,0,0,,,,0,0,0,0,,300,300,,,,40.992,,0.0,159744.0,167936.0,0,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=NORMAL; edge_recovery_scope=0",Cloud Failure without Failover,0.0,,9.06,
2026-08-22 18:19:18,4.1,TC03-batch-20260822T181123-ea0cb7,TC03-20260822T181811404711-run7-453cb8,TC03,cloud_only_failure_no_failover,7,single_scenario,30,0.2,5.0,0.453,66.170079,medium,0,30,0,0,False,failed,not_used,0.0,,2.009438,2.009483,2.016983,0.0,0,0,0,,,,0,0,0,0,,300,300,,,,41.137,,0.0,159744.0,167936.0,0,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=NORMAL; edge_recovery_scope=0",Cloud Failure without Failover,0.0,,9.06,
2026-08-22 18:20:26,4.1,TC03-batch-20260822T181123-ea0cb7,TC03-20260822T181919232291-run8-b61a20,TC03,cloud_only_failure_no_failover,8,single_scenario,30,0.2,5.0,0.454,66.12734,medium,0,30,0,0,False,failed,not_used,0.0,,2.008339,2.00838,2.016306,0.0,0,0,0,,,,0,0,0,0,,300,300,,,,40.035,,0.0,159744.0,167936.0,0,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=NORMAL; edge_recovery_scope=0",Cloud Failure without Failover,0.0,,9.08,
2026-08-22 18:21:34,4.1,TC03-batch-20260822T181123-ea0cb7,TC03-20260822T182026983002-run9-9e1b81,TC03,cloud_only_failure_no_failover,9,single_scenario,30,0.2,5.0,0.454,66.08651,medium,0,30,0,0,False,failed,not_used,0.0,,2.006783,2.006821,2.01612,0.0,0,0,0,,,,0,0,0,0,,300,300,,,,39.793,,0.0,159744.0,167936.0,0,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=NORMAL; edge_recovery_scope=0",Cloud Failure without Failover,0.0,,9.08,
2026-08-22 18:22:45,4.1,TC03-batch-20260822T181123-ea0cb7,TC03-20260822T182134704523-run10-a63cd1,TC03,cloud_only_failure_no_failover,10,single_scenario,30,0.2,5.0,0.428,70.041468,medium,0,30,0,0,False,failed,not_used,0.0,,2.012226,2.012271,2.01693,0.0,0,0,0,,,,0,0,0,0,,300,300,,,,39.922,,0.0,159744.0,167936.0,0,"Observed failover recovery is a technical indicator, not organisational RTO; final_state=NORMAL; edge_recovery_scope=0",Cloud Failure without Failover,0.0,,8.559999999999999,
